SHIP_ID,SHIPNAME,PORT_ID,PORT_NAME,CENTERX,CENTERY,COUNTRY_CODE,IMO,TIMESTAMP_UTC,PORT_TYPE_NAME,FROM_NOANCH_ID,FROM_NOANCH_NAME,FROM_PORT_ID,FROM_PORT_NAME,TIMEZONE,MOVE_TYPE_NAME,MMSI,INTRANSIT_NAME
6769387,KM.PIONEER 9,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639833180,Port,,,,,7,DEPARTURE,525003517,Not in Transit
5902057,SUNLY 11,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639833000,Port,290,SINGAPORE,290,SINGAPORE,7,ARRIVAL,525300160,Not in Transit
6150176,LAKSMANA,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639832760,Port,20469,BATU AMPAR,20469,BATU AMPAR,7,ARRIVAL,525101109,Not in Transit
4649358,CAHAYA JAYA,20469,BATU AMPAR,103.9968,1.167131,ID,8984719,1639830360,Port,290,SINGAPORE,290,SINGAPORE,7,ARRIVAL,525021070,Not in Transit
6423568,ABHIMATA 1,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639830000,Port,290,SINGAPORE,290,SINGAPORE,7,ARRIVAL,525101275,Not in Transit
5965039,TB.PERDANA XI,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639828980,Port,20469,BATU AMPAR,20469,BATU AMPAR,7,ARRIVAL,525005082,Not in Transit
4496187,OCEANNA 16,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639828620,Port,20469,BATU AMPAR,20469,BATU AMPAR,7,ARRIVAL,525022413,Not in Transit
3542148,PANINDO 2,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639828320,Port,290,SINGAPORE,22618,BATU AMPAR ANCH,7,ARRIVAL,563033490,Not in Transit
6513539,TB.EL NINA SAMUDRA,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639828200,Port,20469,BATU AMPAR,20469,BATU AMPAR,7,ARRIVAL,525100340,Not in Transit
6513539,TB.EL NINA SAMUDRA,20469,BATU AMPAR,103.9968,1.167131,ID,0,1639826160,Port,,,,,7,DEPARTURE,525100340,Not in Transit
